📺4K频道,#genre#
第一剧场HD,http://27.17.212.8:55555/rtp/239.69.1.74:10084
第一剧场HD,http://59.174.118.10:60002/rtp/239.69.1.74:10084
第一剧场HD,http://59.173.123.57:4022/rtp/239.69.1.74:10084
第一剧场HD,http://219.139.231.142:8989/rtp/239.69.1.74:10084
第一剧场HD,http://219.139.229.55:8989/rtp/239.69.1.74:10084
风云足球HD,http://27.17.212.8:55555/rtp/239.69.1.81:10126
风云足球HD,http://59.174.118.10:60002/rtp/239.69.1.81:10126
风云足球HD,http://59.173.123.57:4022/rtp/239.69.1.81:10126
风云足球HD,http://219.139.231.142:8989/rtp/239.69.1.81:10126
风云足球HD,http://219.139.229.55:8989/rtp/239.69.1.81:10126
风云音乐HD,http://27.17.212.8:55555/rtp/239.69.1.90:10180
风云音乐HD,http://59.174.118.10:60002/rtp/239.69.1.90:10180
风云音乐HD,http://59.173.123.57:4022/rtp/239.69.1.90:10180
风云音乐HD,http://219.139.231.142:8989/rtp/239.69.1.90:10180
风云音乐HD,http://219.139.229.55:8989/rtp/239.69.1.90:10180
世界地理HD,http://27.17.212.8:55555/rtp/239.69.1.91:10186
世界地理HD,http://59.174.118.10:60002/rtp/239.69.1.91:10186
世界地理HD,http://59.173.123.57:4022/rtp/239.69.1.91:10186
世界地理HD,http://219.139.231.142:8989/rtp/239.69.1.91:10186
世界地理HD,http://219.139.229.55:8989/rtp/239.69.1.91:10186
电视指南HD,http://27.17.212.8:55555/rtp/239.69.1.87:10162
电视指南HD,http://59.174.118.10:60002/rtp/239.69.1.87:10162
电视指南HD,http://59.173.123.57:4022/rtp/239.69.1.87:10162
电视指南HD,http://219.139.231.142:8989/rtp/239.69.1.87:10162
电视指南HD,http://219.139.229.55:8989/rtp/239.69.1.87:10162
怀旧剧场HD,http://27.17.212.8:55555/rtp/239.69.1.86:10156
怀旧剧场HD,http://27.17.212.8:55555/rtp/239.69.1.89:10174
怀旧剧场HD,http://59.174.118.10:60002/rtp/239.69.1.86:10156
怀旧剧场HD,http://59.174.118.10:60002/rtp/239.69.1.89:10174
怀旧剧场HD,http://59.173.123.57:4022/rtp/239.69.1.86:10156
怀旧剧场HD,http://59.173.123.57:4022/rtp/239.69.1.89:10174
怀旧剧场HD,http://219.139.231.142:8989/rtp/239.69.1.86:10156
怀旧剧场HD,http://219.139.231.142:8989/rtp/239.69.1.89:10174
